baker,full_name,series,episode,technical,result,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Holly,Holly Bell,2,5,4,IN,31,Advertising executive,Leicester,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie
Jo,Jo Wheatley,2,5,6,IN,41,Housewife,"Ongar, Essex",Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie
Mary-Anne,Mary-Anne Boermans,2,5,2,IN,45,Housewife,"Kidderminster, Worcestershire",Chicken and Bacon Pie,Midnight Meringue
Yasmin,Yasmin Limbert,2,5,5,IN,43,Childminder,"West Kirby, The Wirral",Family Fish Pie,Peach and Raspberry Meringue Pie
Jason,Jason White,2,5,7,OUT,19,Civil Engineering Student,Croydon,Brown Down Chicken Pie,Plum Meringue Pie
Robert,Robert Billington,2,5,3,OUT,25,Photographer,London,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie
Janet,Janet Basu,2,5,1,STAR BAKER,63,Teacher of Modern Languages,"Formby, Liverpool",Chicken and Chestnut Pie,Rhubarb Meringue Pie
Ben,Ben Frazer,2,5,NA,NA,31,Graphic Designer,Northampton,NA,NA
Ian,Ian Vallance,2,5,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA
Keith,Keith Batsford,2,5,NA,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA
Simon,Simon Blackwell,2,5,NA,NA,31,Rugby Coach,Norfolk,NA,NA
Urvashi,Urvashi Roe,2,5,NA,NA,40,Head of Marketing,"Enfield, London",NA,NA
Holly,Holly Bell,2,6,3,IN,31,Advertising executive,Leicester,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche
Janet,Janet Basu,2,6,5,IN,63,Teacher of Modern Languages,"Formby, Liverpool",Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche
Mary-Anne,Mary-Anne Boermans,2,6,4,IN,45,Housewife,"Kidderminster, Worcestershire",Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel
Yasmin,Yasmin Limbert,2,6,2,OUT,43,Childminder,"West Kirby, The Wirral",Baked Amaretto Cheesecake,Rose Croquembouche
Jo,Jo Wheatley,2,6,1,STAR BAKER,41,Housewife,"Ongar, Essex",Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche
Ben,Ben Frazer,2,6,NA,NA,31,Graphic Designer,Northampton,NA,NA
Ian,Ian Vallance,2,6,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire",NA,NA
Jason,Jason White,2,6,NA,NA,19,Civil Engineering Student,Croydon,NA,NA
Keith,Keith Batsford,2,6,NA,NA,31,House husband,"Arlesey, Bedfordshire",NA,NA
Robert,Robert Billington,2,6,NA,NA,25,Photographer,London,NA,NA
Simon,Simon Blackwell,2,6,NA,NA,31,Rugby Coach,Norfolk,NA,NA
Urvashi,Urvashi Roe,2,6,NA,NA,40,Head of Marketing,"Enfield, London",NA,NA
